gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
21800001,10/16/18,regular,1610612738,BOS,BOS,PHI,48,105,42,97,43.3,11,37,29.7,10,14,71.4,12,43,55,21,15,7,5,20,18,1,2019
21800001,10/16/18,regular,1610612755,PHI,BOS,PHI,48,87,34,87,39.1,5,26,19.2,14,23,60.9,6,41,47,18,16,8,5,20,-18,0,2019
21800002,10/16/18,regular,1610612744,GSW,GSW,OKC,48,108,42,95,44.2,7,26,26.9,17,18,94.4,17,41,58,28,21,7,7,29,8,1,2019
21800002,10/16/18,regular,1610612760,OKC,GSW,OKC,48,100,33,91,36.3,10,37,27,24,37,64.9,16,29,45,21,15,12,6,21,-8,0,2019
21800003,10/17/18,regular,1610612766,CHA,CHA,MIL,48,112,41,92,44.6,16,38,42.1,14,22,63.6,9,32,41,21,11,8,9,19,-1,0,2019
21800003,10/17/18,regular,1610612749,MIL,CHA,MIL,48,113,42,85,49.4,14,34,41.2,15,20,75,11,46,57,26,21,5,4,25,1,1,2019
21800004,10/17/18,regular,1610612751,BKN,DET,BKN,48,100,40,82,48.8,5,27,18.5,15,22,68.2,5,34,39,28,19,9,5,23,-3,0,2019
21800004,10/17/18,regular,1610612765,DET,DET,BKN,48,103,39,92,42.4,6,24,25,19,22,86.4,14,32,46,21,17,5,5,20,3,1,2019
21800005,10/17/18,regular,1610612754,IND,IND,MEM,48,111,47,83,56.6,10,26,38.5,7,13,53.8,13,44,57,29,20,2,7,24,28,1,2019
21800005,10/17/18,regular,1610612763,MEM,IND,MEM,48,83,25,84,29.8,10,29,34.5,23,28,82.1,7,21,28,16,10,11,3,18,-28,0,2019
21800006,10/17/18,regular,1610612748,MIA,ORL,MIA,48,101,38,97,39.2,9,33,27.3,16,22,72.7,14,38,52,16,17,4,5,28,-3,0,2019
21800006,10/17/18,regular,1610612753,ORL,ORL,MIA,48,104,39,94,41.5,7,25,28,19,31,61.3,14,37,51,20,12,7,7,25,3,1,2019
21800007,10/17/18,regular,1610612737,ATL,NYK,ATL,48,107,41,90,45.6,10,36,27.8,15,18,83.3,7,38,45,19,24,7,3,30,-19,0,2019
21800007,10/17/18,regular,1610612752,NYK,NYK,ATL,48,126,45,99,45.5,12,33,36.4,24,31,77.4,10,36,46,21,16,12,6,23,19,1,2019
21800008,10/17/18,regular,1610612739,CLE,TOR,CLE,48,104,34,85,40,7,19,36.8,29,39,74.4,14,35,49,17,16,4,0,25,-12,0,2019
21800008,10/17/18,regular,1610612761,TOR,TOR,CLE,48,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,10,6,7,29,12,1,2019
21800009,10/17/18,regular,1610612745,HOU,HOU,NOP,48,112,39,92,42.4,16,48,33.3,18,24,75,8,29,37,21,12,8,7,22,-19,0,2019
21800009,10/17/18,regular,1610612740,NOP,HOU,NOP,48,131,52,98,53.1,10,25,40,17,22,77.3,14,40,54,36,12,8,3,25,19,1,2019
21800010,10/17/18,regular,1610612750,MIN,SAS,MIN,48,108,39,91,42.9,6,19,31.6,24,27,88.9,14,32,46,20,11,9,2,27,-4,0,2019
21800010,10/17/18,regular,1610612759,SAS,SAS,MIN,48,112,40,93,43,11,25,44,21,29,72.4,19,33,52,22,12,3,4,22,4,1,2019
21800011,10/17/18,regular,1610612758,SAC,SAC,UTA,48,117,49,95,51.6,7,19,36.8,12,18,66.7,5,32,37,17,9,8,3,27,-6,0,2019
21800011,10/17/18,regular,1610612762,UTA,SAC,UTA,48,123,41,79,51.9,13,27,48.1,28,38,73.7,5,39,44,21,17,8,4,19,6,1,2019
21800012,10/17/18,regular,1610612743,DEN,LAC,DEN,48,107,33,87,37.9,8,24,33.3,33,42,78.6,14,42,56,20,11,6,9,22,9,1,2019
21800012,10/17/18,regular,1610612746,LAC,LAC,DEN,48,98,35,88,39.8,8,28,28.6,20,24,83.3,9,38,47,21,14,3,9,32,-9,0,2019
21800013,10/17/18,regular,1610612742,DAL,PHX,DAL,48,100,38,88,43.2,10,33,30.3,14,20,70,10,28,38,28,9,7,5,16,-21,0,2019
21800013,10/17/18,regular,1610612756,PHX,PHX,DAL,48,121,44,81,54.3,19,34,55.9,14,16,87.5,6,38,44,35,12,5,2,22,21,1,2019
21800014,10/18/18,regular,1610612741,CHI,PHI,CHI,48,108,44,101,43.6,11,33,33.3,9,12,75,5,34,39,28,12,4,6,23,-19,0,2019
21800014,10/18/18,regular,1610612755,PHI,PHI,CHI,48,127,44,93,47.3,12,36,33.3,27,30,90,11,44,55,30,13,10,8,17,19,1,2019
21800015,10/18/18,regular,1610612748,MIA,WAS,MIA,48,113,38,97,39.2,12,35,34.3,25,34,73.5,22,33,55,25,19,6,5,26,1,1,2019
21800015,10/18/18,regular,1610612764,WAS,WAS,MIA,48,112,38,81,46.9,7,26,26.9,29,39,74.4,7,33,40,19,14,7,15,31,-1,0,2019
21800016,10/18/18,regular,1610612747,LAL,POR,LAL,48,119,45,93,48.4,7,30,23.3,22,29,75.9,8,38,46,23,15,10,6,26,-9,0,2019
21800016,10/18/18,regular,1610612757,POR,POR,LAL,48,128,44,100,44,13,37,35.1,27,29,93.1,14,40,54,21,17,9,10,26,9,1,2019
21800017,10/19/18,regular,1610612766,CHA,ORL,CHA,48,120,43,92,46.7,17,38,44.7,17,20,85,12,43,55,32,16,6,4,17,32,1,2019
21800017,10/19/18,regular,1610612753,ORL,ORL,CHA,48,88,36,94,38.3,6,31,19.4,10,14,71.4,12,32,44,18,18,8,7,16,-32,0,2019
21800018,10/19/18,regular,1610612751,BKN,BKN,NYK,48,107,37,75,49.3,12,30,40,21,24,87.5,12,43,55,22,22,2,6,23,2,1,2019
21800018,10/19/18,regular,1610612752,NYK,BKN,NYK,48,105,39,97,40.2,9,28,32.1,18,20,90,12,24,36,14,3,10,1,19,-2,0,2019
21800019,10/19/18,regular,1610612738,BOS,TOR,BOS,48,101,40,99,40.4,14,36,38.9,7,10,70,16,33,49,29,16,4,6,27,-12,0,2019
21800019,10/19/18,regular,1610612761,TOR,TOR,BOS,48,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,13,3,3,19,12,1,2019
21800020,10/19/18,regular,1610612737,ATL,MEM,ATL,48,117,41,83,49.4,14,30,46.7,21,36,58.3,11,29,40,27,19,9,5,31,-14,0,2019
21800020,10/19/18,regular,1610612763,MEM,MEM,ATL,48,131,44,81,54.3,13,26,50,30,43,69.8,7,34,41,32,17,9,4,29,14,1,2019
21800021,10/19/18,regular,1610612739,CLE,MIN,CLE,48,123,45,93,48.4,8,23,34.8,25,29,86.2,13,30,43,26,14,5,2,24,-8,0,2019
21800021,10/19/18,regular,1610612750,MIN,MIN,CLE,48,131,44,87,50.6,10,25,40,33,35,94.3,9,31,40,28,14,9,7,21,8,1,2019
21800022,10/19/18,regular,1610612740,NOP,NOP,SAC,48,149,56,95,58.9,16,31,51.6,21,33,63.6,12,40,52,35,16,6,4,25,20,1,2019
21800022,10/19/18,regular,1610612758,SAC,NOP,SAC,48,129,50,96,52.1,10,25,40,19,26,73.1,9,30,39,24,13,6,2,26,-20,0,2019
21800023,10/19/18,regular,1610612754,IND,MIL,IND,48,101,38,87,43.7,6,18,33.3,19,27,70.4,9,32,41,14,17,7,3,25,-17,0,2019
21800023,10/19/18,regular,1610612749,MIL,MIL,IND,48,118,44,93,47.3,17,46,37,13,21,61.9,11,39,50,27,17,9,8,26,17,1,2019
21800024,10/19/18,regular,1610612744,GSW,UTA,GSW,48,124,49,87,56.3,10,19,52.6,16,18,88.9,8,35,43,27,16,10,6,23,1,1,2019
21800024,10/19/18,regular,1610612762,UTA,UTA,GSW,48,123,40,89,44.9,19,46,41.3,24,29,82.8,10,28,38,24,17,11,4,19,-1,0,2019
21800025,10/19/18,regular,1610612746,LAC,LAC,OKC,48,108,35,81,43.2,11,26,42.3,27,36,75,10,38,48,21,15,3,3,24,16,1,2019
21800025,10/19/18,regular,1610612760,OKC,LAC,OKC,48,92,34,95,35.8,7,33,21.2,17,23,73.9,15,37,52,18,13,5,4,29,-16,0,2019
21800026,10/20/18,regular,1610612751,BKN,IND,BKN,48,112,41,86,47.7,16,37,43.2,14,22,63.6,9,31,40,25,20,6,6,18,-20,0,2019
21800026,10/20/18,regular,1610612754,IND,IND,BKN,48,132,51,92,55.4,16,24,66.7,14,22,63.6,10,30,40,21,11,12,5,18,20,1,2019
21800027,10/20/18,regular,1610612761,TOR,WAS,TOR,48,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,17,5,5,29,4,1,2019
21800027,10/20/18,regular,1610612764,WAS,WAS,TOR,48,113,37,89,41.6,13,39,33.3,26,32,81.3,9,28,37,20,11,11,9,27,-4,0,2019
21800028,10/20/18,regular,1610612738,BOS,NYK,BOS,48,103,33,82,40.2,9,25,36,28,33,84.8,11,36,47,21,15,8,2,26,2,1,2019
21800028,10/20/18,regular,1610612752,NYK,NYK,BOS,48,101,36,87,41.4,12,35,34.3,17,27,63,11,35,46,23,16,8,1,25,-2,0,2019
21800029,10/20/18,regular,1610612753,ORL,PHI,ORL,48,115,41,90,45.6,16,29,55.2,17,22,77.3,14,35,49,31,16,7,7,15,-1,0,2019
21800029,10/20/18,regular,1610612755,PHI,PHI,ORL,48,116,45,94,47.9,17,33,51.5,9,10,90,13,33,46,33,10,8,3,21,1,1,2019
